text_id,post_text,sentiment_label,topic_category,raw_text,cleaned_text
TXT_00011,If you're not planning to watch Sharknado 3 tomorrow then idk what you're doing with your life tbh,Neutral,Community_Discussion,If you're not planning to watch Sharknado 3 tomorrow then idk what you're doing with your life tbh,If you're not planning to watch Sharknado 3 tomorrow then idk what you're doing with your life tbh
TXT_00028,Also disturbing is that HICK MORON CLERK has no idea FEDERAL LAW SUPERSEDES STATE LAW! What about GAY couple 1st Admnt rights? @user,Negative,Community_Discussion,Also disturbing is that HICK MORON CLERK has no idea FEDERAL LAW SUPERSEDES STATE LAW! What about GAY couple 1st Admnt rights? @user,Also disturbing is that HICK MORON CLERK has no idea FEDERAL LAW SUPERSEDES STATE LAW! What about GAY couple 1st Admnt rights? @user
TXT_00033,The game 1st album 1 song he say he rap like Eazy-E then Nas then 50 cent then dr Dre then Jay-Z then Eazy-E again then like his dead bro,Positive,Community_Discussion,The game 1st album 1 song he say he rap like Eazy-E then Nas then 50 cent then dr Dre then Jay-Z then Eazy-E again then like his dead bro,The game 1st album 1 song he say he rap like Eazy-E then Nas then 50 cent then dr Dre then Jay-Z then Eazy-E again then like his dead bro
TXT_00037,I\u2019m going to the Duke game on Saturday. Haha. DUKE. What\u2019a joke they are.,Negative,Community_Discussion,I\u2019m going to the Duke game on Saturday. Haha. DUKE. What\u2019a joke they are.,I'm going to the Duke game on Saturday. Haha. DUKE. What'a joke they are.
TXT_00039,"""Just the fact that he has the title \""""Ambassador\"""" should be cool factor enough to make you come see Jon Huntsman on Wednesday at 8pm!""",Positive,Community_Discussion,"""Just the fact that he has the title \""""Ambassador\"""" should be cool factor enough to make you come see Jon Huntsman on Wednesday at 8pm!""","Just the fact that he has the title \""""Ambassador\"""" should be cool factor enough to make you come see Jon Huntsman on Wednesday at 8pm!"
TXT_00043,Brock Lesnar's the best thing going in wrestling.   There's not even a close 2nd.,Positive,Community_Discussion,Brock Lesnar's the best thing going in wrestling.   There's not even a close 2nd.,Brock Lesnar's the best thing going in wrestling. There's not even a close 2nd.
TXT_00047,good morning to my clique @user @user @user @user loving the friday Addition of Flava in da morning,Positive,Community_Discussion,good morning to my clique @user @user @user @user loving the friday Addition of Flava in da morning,good morning to my clique @user @user @user @user loving the friday Addition of Flava in da morning
TXT_00053,"""Abraham decisions Stieglitz to win WBO title: In Saturday night action from the O2 World Arena in Berlin, German...",Neutral,Community_Discussion,"""Abraham decisions Stieglitz to win WBO title: In Saturday night action from the O2 World Arena in Berlin, German...","""Abraham decisions Stieglitz to win WBO title: In Saturday night action from the O2 World Arena in Berlin, German.."
TXT_00077,Watching When Harry met Sally\u002c how I love that movie!!! A) it\u2019s NYC B) it\u2019s Billy Crystal and Meg Ryan :) what a perfect start to Friday!,Positive,Community_Discussion,Watching When Harry met Sally\u002c how I love that movie!!! A) it\u2019s NYC B) it\u2019s Billy Crystal and Meg Ryan :) what a perfect start to Friday!,"Watching When Harry met Sally, how I love that movie!! A) it's NYC B) it's Billy Crystal and Meg Ryan :) what a perfect start to Friday!"
TXT_00081,Win tomorrow and we get another shot at a 3 game set with Harvery deGrom and Thor #WontHappenAgain,Positive,Technical_Issues,Win tomorrow and we get another shot at a 3 game set with Harvery deGrom and Thor #WontHappenAgain,Win tomorrow and we get another shot at a 3 game set with Harvery deGrom and Thor WontHappenAgain
TXT_00085,You only have three days left\u002c this Sunday is the last day to swim at Fairground pool this season.,Neutral,Community_Discussion,You only have three days left\u002c this Sunday is the last day to swim at Fairground pool this season.,"You only have three days left, this Sunday is the last day to swim at Fairground pool this season."
