text_id,post_text,sentiment_label,topic_category,raw_text,cleaned_text
TXT_00001,some1 come wait in line with me Thursday at 3@target bc briana is being a bitch,Negative,Community_Discussion,some1 come wait in line with me Thursday at 3@target bc briana is being a bitch,some1 come wait in line with me Thursday at 3@user bc briana is being a bitch
TXT_00002,Mancity strikers Aguero and Dzeko you better thrash Bolton tomorrow night!,Positive,Community_Discussion,Mancity strikers Aguero and Dzeko you better thrash Bolton tomorrow night!,Mancity strikers Aguero and Dzeko you better thrash Bolton tomorrow night!
TXT_00003,Would you like to join us at our annual gala at the Sandman Signature Resort on Oct 25? Contact our centre at 6042773100 for tickets!,Positive,Community_Discussion,Would you like to join us at our annual gala at the Sandman Signature Resort on Oct 25? Contact our centre at 6042773100 for tickets!,Would you like to join us at our annual gala at the Sandman Signature Resort on Oct 25? Contact our centre at 6042773100 for tickets!
TXT_00004,"""Sicily may form grand coalition, Italian UDC Party leader: (AGI) Rome - On Monday Rocco Buttiglione, the leader ...",Neutral,Community_Discussion,"""Sicily may form grand coalition, Italian UDC Party leader: (AGI) Rome - On Monday Rocco Buttiglione, the leader ...","""Sicily may form grand coalition, Italian UDC Party leader: (AGI) Rome - On Monday Rocco Buttiglione, the leader .."
TXT_00005,@user @user If the comment was in reference to the 'Charlie Hebdo' violent attack in january: it is no less repugnant. In my opinion,Negative,Community_Discussion,@user @user If the comment was in reference to the 'Charlie Hebdo' violent attack in january: it is no less repugnant. In my opinion,@user @user If the comment was in reference to the 'Charlie Hebdo' violent attack in january: it is no less repugnant. In my opinion
TXT_00006,@user @user aaaah. Nokia used to make the Best Phone Cameras Ever.  Sadly I think those days may be past.,Negative,Community_Discussion,@user @user aaaah. Nokia used to make the Best Phone Cameras Ever.  Sadly I think those days may be past.,@user @user aah. Nokia used to make the Best Phone Cameras Ever. Sadly I think those days may be past.
TXT_00007,Curtis Painter was asked in interviews today if as the lead singer of Nirvana was getting the band back together.,Neutral,Account_Security,Curtis Painter was asked in interviews today if as the lead singer of Nirvana was getting the band back together.,Curtis Painter was asked in interviews today if as the lead singer of Nirvana was getting the band back together.
TXT_00008,"""When gaza march out pon the battlefield it's a funeral... israel burial, gazaaa me seh""",Negative,Community_Discussion,"""When gaza march out pon the battlefield it's a funeral... israel burial, gazaaa me seh""","When gaza march out pon the battlefield it's a funeral.. israel burial, gazaa me seh"
TXT_00009,"""WLS Quick Look """" Caitlyn Jenner - 1st Public Reunion with Ex Wife #Selfie """"",Neutral,Feature_Feedback,"""WLS Quick Look """" Caitlyn Jenner - 1st Public Reunion with Ex Wife #Selfie """"","WLS Quick Look """" Caitlyn Jenner - 1st Public Reunion with Ex Wife Selfie "
TXT_00010,"""1st game played under Solar Powered floodlights in the world happened in MYSA,Nairobi Kenya. #PhilipsLED""",Neutral,Technical_Issues,"""1st game played under Solar Powered floodlights in the world happened in MYSA,Nairobi Kenya. #PhilipsLED""","1st game played under Solar Powered floodlights in the world happened in MYSA,Nairobi Kenya. PhilipsLED"
TXT_00011,If you're not planning to watch Sharknado 3 tomorrow then idk what you're doing with your life tbh,Neutral,Community_Discussion,If you're not planning to watch Sharknado 3 tomorrow then idk what you're doing with your life tbh,If you're not planning to watch Sharknado 3 tomorrow then idk what you're doing with your life tbh
TXT_00012,"""B4 d hood was placed on Yakub's face, he insisted that he wanted 2 c d rising sun, which he was not allowed.""",Neutral,Community_Discussion,"""B4 d hood was placed on Yakub's face, he insisted that he wanted 2 c d rising sun, which he was not allowed.""","B4 d hood was placed on Yakub's face, he insisted that he wanted 2 c d rising sun, which he was not allowed."
TXT_00013,"@user If all of the Kpop fans came after 1d people will wake up tomorrow and be like """"who is 1d?""""""",Neutral,Community_Discussion,"@user If all of the Kpop fans came after 1d people will wake up tomorrow and be like """"who is 1d?""""""","@user If all of the Kpop fans came after 1d people will wake up tomorrow and be like """"who is 1d?"""""
